indic_ur,cities\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
EC2021V,DE059C1	: 	: 	: 	3704 	3787 	3771 	3812 	3759 	3732 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE061C1	: 	: 	: 	4691 	4790 	4719 	4691 	4623 	4753 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE062C1	: 	: 	: 	4245 	4358 	4307 	4298 	4195 	4159 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE066C1	: 	: 	: 	3583 	3693 	3641 	3674 	3638 	3672 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE067C1	: 	: 	: 	3609 	3681 	3584 	3563 	3456 	3492 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE069C1	: 	: 	: 	4088 	4249 	4240 	4254 	4166 	4212 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE070C1	: 	: 	: 	1941 	1970 	2023 	2036 	2038 	2045 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE077C1	: 	: 	: 	2784 	2860 	2818 	2877 	2833 	2826 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE080C1	: 	: 	: 	2768 	2796 	2829 	2825 	2760 	2793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE081C1	: 	: 	: 	3222 	3318 	3277 	3264 	3222 	3227 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,DE082C1	: 	: 	: 	3492 	3505 	3522 	3598 	3600 	3634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
